sale_id,customer_id,product_id,order_date,revenue,quantity
1,CG-12520,FUR-BO-10001798,08/11/2017,261.96,1
2,CG-12520,FUR-CH-10000454,08/11/2017,731.94,1
3,DV-13045,OFF-LA-10000240,12/06/2017,14.62,1
4,SO-20335,FUR-TA-10000577,11/10/2016,957.5775,1
5,SO-20335,OFF-ST-10000760,11/10/2016,22.368,1
6,BH-11710,FUR-FU-10001487,09/06/2015,48.86,1
7,BH-11710,OFF-AR-10002833,09/06/2015,7.28,1
8,BH-11710,TEC-PH-10002275,09/06/2015,907.152,1
9,BH-11710,OFF-BI-10003910,09/06/2015,18.504,1
10,BH-11710,OFF-AP-10002892,09/06/2015,114.9,1
11,BH-11710,FUR-TA-10001539,09/06/2015,1706.184,1
12,BH-11710,TEC-PH-10002033,09/06/2015,911.424,1
13,AA-10480,OFF-PA-10002365,15/04/2018,15.552,1
14,IM-15070,OFF-BI-10003656,05/12/2017,407.976,1
15,HP-14815,OFF-AP-10002311,22/11/2016,68.81,1
16,HP-14815,OFF-BI-10000756,22/11/2016,2.544,1
17,PK-19075,OFF-ST-10004186,11/11/2015,665.88,1
18,AG-10270,OFF-ST-10000107,13/05/2015,55.5,1
19,ZD-21925,OFF-AR-10003056,27/08/2015,8.56,1
20,ZD-21925,TEC-PH-10001949,27/08/2015,213.48,1
21,ZD-21925,OFF-BI-10002215,27/08/2015,22.72,1
22,KB-16585,OFF-AR-10000246,09/12/2017,19.46,1
23,KB-16585,OFF-AP-10001492,09/12/2017,60.34,1
24,SF-20065,FUR-CH-10002774,16/07/2018,71.372,1
25,EB-13870,FUR-TA-10000577,25/09/2016,1044.63,1
26,EH-13945,OFF-BI-10001634,16/01/2017,11.648,1
27,EH-13945,TEC-AC-10003027,16/01/2017,90.57,1
28,TB-21520,FUR-BO-10004834,17/09/2016,3083.43,1
29,TB-21520,OFF-BI-10000474,17/09/2016,9.618,1
30,TB-21520,FUR-FU-10004848,17/09/2016,124.2,1
31,TB-21520,OFF-EN-10001509,17/09/2016,3.264,1
32,TB-21520,OFF-AR-10004042,17/09/2016,86.304,1
